ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/1tHByZ-hPrn815cJPSZDABzAgfpwB87C7/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/1XSgowjVhBrMjvkBpXAYM26jXU-pFd-tK/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/198RiOPn3m1SgQXwy0z_Wd5kJer_TfacY/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/1LyXQfnUQO8I4owjCfJmVEv7UIS6AY9xm/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/19KIpBkRgMpes482hOlZuAT5Xr50VdTKH/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/1d0kAQ0ThUDermK_b2hi1WI1NlFrt8d0L/view?usp=share_link
ionicatticancientgreek1	Ionic-Attic Ancient Greek	1	anci1242	Indo-European	grc	https://drive.google.com/file/d/1reX2bbncCehi4yFBAnMdIRShFpj37Tkb/view?usp=share_link
sikuani	Sikuani		guah1255	Guahiboan	guh	https://drive.google.com/file/d/1NwDgrJww3sURWs3pLwpDciuqKENtCSG5/view?usp=share_link
guajajara	Guajajára		guaj1255	Tupian	gub	https://drive.google.com/file/d/1I3JHpj2_HRfmI3W4xNRC3rBvFg_9Poij/view?usp=share_link
guambiano	Guambiano		guam1248	Barbacoan	gum	https://drive.google.com/file/d/1lpGqm-nkq51hO2fUjJ4sEIFbJ-vj-VcA/view?usp=share_link
kotiria	Kotiria		guan1269	Tucanoan	gvc	https://drive.google.com/file/d/1-acbv3_VlXiTMKRbA8C4Rl58cO-Vp03l/view?usp=share_link
easternbolivianguarani	Eastern Bolivian Guaraní		east2555	Tupian	gui	https://drive.google.com/file/d/187MfU9QBj3zE2b7Sda5h4cw7rLM5n5Fb/view?usp=share_link
mbyaguarani	Mbyá Guaraní		mbya1239	Tupian	gun	https://drive.google.com/file/d/1WhIbMD9okBsYaCqwYI-mfJpqQPSC74Gt/view?usp=share_link
westernbolivianguarani	Western Bolivian Guaraní		west2640	Tupian	gnw	https://drive.google.com/file/d/1x-3bnN35jwhFhdZ7yRNyeeI1Q7GKXL6D/view?usp=share_link
guarayu	Guarayu		guar1292	Tupian	gyr	https://drive.google.com/file/d/1xeuZvKTwsdhgj8nZgAHhTn_eXnmAGyER/view?usp=share_link
guayabero	Guayabero		guay1257	Guahiboan	guo	https://drive.google.com/file/d/1EnumewGe7S2U06QmwmEVsCPzkLE8D7iS/view?usp=share_link
guhusamane	Guhu-Samane		guhu1244	Nuclear Trans New Guinea	ghs	https://drive.google.com/file/d/1fzkyNOut2PKL27QgsEiFNteQK1NysTTu/view?usp=share_link
gujarati	Gujarati		guja1252	Indo-European	guj	https://drive.google.com/file/d/1VYL8SZOnYwpa2zipurfjUEiF-qW_3isN/view?usp=share_link
gumatj	Gumatj		guma1253	Pama-Nyungan	gnn	https://drive.google.com/file/d/1e1A70rZslXXnHEeJE437qnTXPx97Sv_a/view?usp=share_link
gumawana	Gumawana		guma1254	Austronesian	gvs	https://drive.google.com/file/d/1nFUneDOpZbD6wQ1vYNj2aiNvN6ywHNJp/view?usp=share_link
bininjkunwok	Bininj Kun-Wok		gunw1252	Gunwinyguan	gup	https://drive.google.com/file/d/198UZ0EAjbt-rgNxx_4pbjAD-F7S00hGW/view?usp=share_link
gwahatike	Gwahatike		gwah1244	Nuclear Trans New Guinea	dah	https://drive.google.com/file/d/1e2pebQuUyoOoMwhmDoaowU71EXr2qkT9/view?usp=share_link
gwichin	Gwich'in		gwic1235	Athabaskan-Eyak-Tlingit	gwi	https://drive.google.com/file/d/1lBaKjTtmnVEIjva2PgG0X8-4UlIRhbTa/view?usp=share_link
haitian	Haitian		hait1244	Indo-European	hat	https://drive.google.com/file/d/1n6XLxCU0bGDGL5tQzavarHn_IDf_fqEe/view?usp=share_link
haitian1	Haitian	1	hait1244	Indo-European	hat	https://drive.google.com/file/d/1XVdToCueZSy6YIwTQ583fsNJEMQUB1Qn/view?usp=share_link
halia	Halia		hali1244	Austronesian	hla	https://drive.google.com/file/d/18e2Y5XKRKH5wLWEQ3cyzv_gvJiZb8v-S/view?usp=share_link
hamerbanna	Hamer-Banna		hame1242	South Omotic	amf	https://drive.google.com/file/d/1__04DAAVw1jvJmpLf6OISeHdHmUsWQgn/view?usp=share_link
hangahundi	Hanga Hundi		hang1263	Ndu	wos	https://drive.google.com/file/d/1-zu542SpYrYXFjX7SVJq6LOhBQ9LQ1od/view?usp=share_link
haruai	Haruai		haru1245	Piawi	tmd	https://drive.google.com/file/d/1-HoX22XyWnIr1eqMpTQqg5Jz5d1BSrl5/view?usp=share_link
haryanvi	Haryanvi		hary1238	Indo-European	bgc	https://drive.google.com/file/d/1EfmKnVHpyl6_smHVhn9UFY08RY7I6XE8/view?usp=share_link
hausa	Hausa		haus1257	Afro-Asiatic	hau	https://drive.google.com/file/d/1oUWO0xt6JyfplWc_6LlMEh8yHdruFMIr/view?usp=share_link
hausa1	Hausa	1	haus1257	Afro-Asiatic	hau	https://drive.google.com/file/d/1iP3XIMQMNZxq_xggANcYh6f6rTaxXmHB/view?usp=share_link
hawaiian	Hawaiian		hawa1245	Austronesian	haw	https://drive.google.com/file/d/1d6MX_UOI3o7YE8mlWm7u7YcSw_ZzcoUb/view?usp=share_link
hawu	Hawu		sabu1255	Austronesian	hvn	https://drive.google.com/file/d/1ZHdMGH3Zcz2urcgxeWnv6iR6G11bHFGE/view?usp=share_link
hdi	Hdi		hdii1240	Afro-Asiatic	xed	https://drive.google.com/file/d/172BTQKkKmwfQ-r_WhQoTIrKPfmSsqaY9/view?usp=share_link
modernhebrew	Modern Hebrew		hebr1245	Afro-Asiatic	heb	https://drive.google.com/file/d/1WRzQZq65AKqO67nJX76JQITB-4F5WrrN/view?usp=share_link
modernhebrew1	Modern Hebrew	1	hebr1245	Afro-Asiatic	heb	https://drive.google.com/file/d/1mzcVTv7jZKwUkLc-IxPCl0LkrJWDsSou/view?usp=share_link
helong	Helong		helo1243	Austronesian	heg	https://drive.google.com/file/d/1r-Oj0S5FSR43_GWAe2b_j2vBpbn2LTPd/view?usp=share_link
hindi	Hindi		hind1269	Indo-European	hin	https://drive.google.com/file/d/1rJRG15d2utH08uKh2NTM5CcY9TGlRolJ/view?usp=share_link
hindi1	Hindi	1	hind1269	Indo-European	hin	https://drive.google.com/file/d/1x_rtezisSQ_v-Ciwb1nKwJdQkzP-9s4O/view?usp=share_link
caribbeanhindustani	Caribbean Hindustani		cari1275	Indo-European	hns	https://drive.google.com/file/d/1jmHtZQPM8wWCuRnTGLthhJKRTG4-gnH9/view?usp=share_link
hixkaryana	Hixkaryána		hixk1239	Cariban	hix	https://drive.google.com/file/d/1UrK9Dcjcf2QyTUPIHysgv0qCM8zJaf7-/view?usp=share_link
holiya	Holiya		holi1239	Dravidian	hoy	https://drive.google.com/file/d/1VxkNRHWugAl-JHz3UTdq8RvRl_j-QTfR/view?usp=share_link
hopi	Hopi		hopi1249	Uto-Aztecan	hop	https://drive.google.com/file/d/1uwRFE7WVHoCzsqHn5xshyGYxXnl5vweZ/view?usp=share_link
huambisa	Huambisa		huam1247	Chicham	hub	https://drive.google.com/file/d/1V77nff-IG6FQAWNB8-zwZcsCKFZOoqCp/view?usp=share_link
huastec	Huastec		huas1242	Mayan	hus	https://drive.google.com/file/d/1mIUn2QYpaD8TGG0Zas71r6uwX4P9EvFE/view?usp=share_link
huastec1	Huastec	1	huas1242	Mayan	hus	https://drive.google.com/file/d/1qkmz8rpc-qp8u8yn7Yt8M9-keLRHkzw7/view?usp=share_link
sanmateodelmarhuave	San Mateo del Mar Huave		sanm1287	Huavean	huv	https://drive.google.com/file/d/1rCtXQEr-w5lENPJUnwYbAQDzVTxoK7_H/view?usp=share_link
huichol	Huichol		huic1243	Uto-Aztecan	hch	https://drive.google.com/file/d/1MEaUiZoGXNQ1HVChQugRTkPO231deenn/view?usp=share_link
minicahuitoto	Minica Huitoto		mini1256	Huitotoan	hto	https://drive.google.com/file/d/15rEmsUrYwXCjqqb45O6OPIygGxSV0xax/view?usp=share_link
muruihuitoto	Murui Huitoto		muru1274	Huitotoan	huu	https://drive.google.com/file/d/11pr5mwDKeDh1l8xN3PlOG3RWbyBzYHPN/view?usp=share_link
huli	Huli		huli1244	Nuclear Trans New Guinea	hui	https://drive.google.com/file/d/1x4zt8GGNVnmMNgQuV9I3Aef5K088loX4/view?usp=share_link
iamalele	Iamalele		iama1237	Austronesian	yml	https://drive.google.com/file/d/1P3rMiaLbuuGJZBOBYkGwciQJFTmOIU_3/view?usp=share_link
iatmul	Iatmul		iatm1242	Ndu	ian	https://drive.google.com/file/d/1qf9UOrlVC2R3EeTtGj5csCEBpgEkFWk6/view?usp=share_link
icelandic	Icelandic		icel1247	Indo-European	isl	https://drive.google.com/file/d/1Y5kOs4SVFeegOv5jUza4XqMGblmj9hQT/view?usp=share_link
iduna	Iduna		idun1242	Austronesian	viv	https://drive.google.com/file/d/1-5seJbGQSqEWIHtixCXaJtNf9p3HTyh-/view?usp=share_link
igbo	Igbo		nucl1417	Atlantic-Congo	ibo	https://drive.google.com/file/d/1PhsYnif7RDiuWuVzbp6W9Ek1ASaEICJ2/view?usp=share_link
ignaciano	Ignaciano		igna1246	Arawakan	ign	https://drive.google.com/file/d/1CrmNoYxLpWyYeru-RP2RYSMXVjzvEd0Q/view?usp=share_link
ika	Ika		ikaa1238	Atlantic-Congo	ikk	https://drive.google.com/file/d/1kJDgHdZqGww9VefYkg1200cty7RlaqS_/view?usp=share_link
ikwere	Ikwere		ikwe1242	Atlantic-Congo	ikw	https://drive.google.com/file/d/1O8iW6-DSVRCMofnt9eif6Dp1m1LSa5M7/view?usp=share_link
iloko	Iloko		ilok1237	Austronesian	ilo	https://drive.google.com/file/d/1fBB5biW_fZvWcrX90_6K5k6vTcNCJFHC/view?usp=share_link
imbongu	Imbongu		imbo1238	Nuclear Trans New Guinea	imo	https://drive.google.com/file/d/1xe1ZlKW1xRj7SE2ftFBZMWy8wLs5Qt_a/view?usp=share_link
inabaknon	Inabaknon		inab1237	Austronesian	abx	https://drive.google.com/file/d/1GLnxqtRxrlODPS5aII3nsylpNd-mPk2N/view?usp=share_link
standardindonesian	Standard Indonesian		indo1316	Austronesian	ind	https://drive.google.com/file/d/11XmbSfhbh75gyYOftLj9hSHHtD524lF2/view?usp=share_link
standardindonesian1	Standard Indonesian	1	indo1316	Austronesian	ind	https://drive.google.com/file/d/1EIkBdW18Aq1CY15Sn6H4NJjAfhJDf0UV/view?usp=share_link
colombianinga	Colombian Inga		inga1252	Quechuan	inb	https://drive.google.com/file/d/1T0w81mrA_o6uJDE-k72IiHU6-3QWC2fB/view?usp=share_link
inokeyate	Inoke-Yate		inok1238	Nuclear Trans New Guinea	ino	https://drive.google.com/file/d/1WUZjyXL0hhk82QA1t0we5Zj6pF_DKABL/view?usp=share_link
inokeyate1	Inoke-Yate	1	inok1238	Nuclear Trans New Guinea	ino	https://drive.google.com/file/d/1GXSD3oaqizCTH7XVoPvC3o2xm8lg-iWJ/view?usp=share_link
ipili	Ipili		ipil1240	Nuclear Trans New Guinea	ipi	https://drive.google.com/file/d/10KuLsrEAUuZDaoTYhped1VO_YXRovQIr/view?usp=share_link
westernfarsi	Western Farsi		west2369	Indo-European	pes	https://drive.google.com/file/d/18etj4K7WfKEQ8q79LFLkMDSnhgtpnyJl/view?usp=share_link
isanzu	Isanzu		isan1243	Atlantic-Congo	isn	https://drive.google.com/file/d/19YnJzL1Uy4YX_-riHbhjs3D7XNwFbol1/view?usp=share_link
italian	Italian		ital1282	Indo-European	ita	https://drive.google.com/file/d/10FQIJ8lNhQoHgoRF6nuXX4bR6y26JxTN/view?usp=share_link
italian1	Italian	1	ital1282	Indo-European	ita	https://drive.google.com/file/d/1FNtpU_y2VAh3QSeFNoGuYH9nHXOeKEjU/view?usp=share_link
ivbienorthokpelaarhe	Ivbie North-Okpela-Arhe		ivbi1241	Atlantic-Congo	atg	https://drive.google.com/file/d/1UUqXvRHU97wsS8KPYELa_n-KjE9a4aTW/view?usp=share_link
iwal	Iwal		iwal1237	Austronesian	kbm	https://drive.google.com/file/d/1F6-mMyEOYji90p6mjA2Znx_d6nLBDBp4/view?usp=share_link
sepikiwam	Sepik Iwam		sepi1255	Sepik	iws	https://drive.google.com/file/d/1PBoV5sQ-V0HJxuI0LLZlLKDap_fZWfzH/view?usp=share_link
ixil	Ixil		ixil1251	Mayan	ixl	https://drive.google.com/file/d/1_XiaGMtDE6gTL1hf4dMQnZe3SWIuXMpf/view?usp=share_link
ixil1	Ixil	1	ixil1251	Mayan	ixl	https://drive.google.com/file/d/1JUJbVcw5pwgqeEDLDn74Hzcw4jc0qk65/view?usp=share_link
iyo	Iyo		iyoo1238	Nuclear Trans New Guinea	nca	https://drive.google.com/file/d/1qL3WscAwwf62_vpIp0J0i8PqEG1JZrnc/view?usp=share_link
popti	Popti'		popt1235	Mayan	jac	https://drive.google.com/file/d/1r73U3weEyr2DN4Z-ESAWEN9paGUWMdwV/view?usp=share_link
janji	Janji		janj1240	Atlantic-Congo	jni	https://drive.google.com/file/d/1lavJ_7_goSwUTs0LMIf4X_KLQtXSQ0Xh/view?usp=share_link
japanese	Japanese		nucl1643	Japonic	jpn	https://drive.google.com/file/d/1fz0PvQKmjFtOFmLXG30JX8OnFcBPc2aN/view?usp=share_link
caribbeanjavanese	Caribbean Javanese		cari1276	Austronesian	jvn	https://drive.google.com/file/d/13VC_uCOEhktuQTi0R7q5yKU_4qrHUtWE/view?usp=share_link
juray	Juray		jura1242	Austroasiatic	juy	https://drive.google.com/file/d/1MO2oXAt5W0o5jd3Xu5EOk5GcQfKr1Mob/view?usp=share_link
kiche	K'iche'		kich1262	Mayan	quc	https://drive.google.com/file/d/1jUX9UDskzXgbMP_NdUVAa4layy-_hAUS/view?usp=share_link
kiche1	K'iche'	1	kich1262	Mayan	quc	https://drive.google.com/file/d/1oYPpifsUFkwcmW-LwecVnqXj3P_VLKUR/view?usp=share_link
kiche1	K'iche'	1	kich1262	Mayan	quc	https://drive.google.com/file/d/1zZhPgEg1bFyseMe4xFdKQ-zWQiJwWFBC/view?usp=share_link
urubukaapor	Urubú-Kaapor		urub1250	Tupian	urb	https://drive.google.com/file/d/1mAYRQkAkt3p7XgbfYOL7DlalG6NvhAzA/view?usp=share_link
kadiweu	Kadiwéu		kadi1248	Guaicuruan	kbc	https://drive.google.com/file/d/1NeJhZ_UpR3DPh0gBDJpuODCX2jbPRx1F/view?usp=share_link
kagayanen	Kagayanen		kaga1256	Austronesian	cgc	https://drive.google.com/file/d/1c127ZFy80IWJMHQGKdUoFo8BMVtu4jCw/view?usp=share_link
kaingang	Kaingang		kain1272	Nuclear-Macro-Je	kgp	https://drive.google.com/file/d/1AXGYMCt32_o4-Pv45metq_iEIlGUzw4b/view?usp=share_link
kaiwa	Kaiwá		kaiw1246	Tupian	kgk	https://drive.google.com/file/d/1pyHJ8IcmPmSXEUQ1z6K5WBbq8w7Dkelq/view?usp=share_link
kakabai	Kakabai		kaka1267	Austronesian	kqf	https://drive.google.com/file/d/1FiBWDOKnpUlZ16_yL6zbt6CZhlzD41Er/view?usp=share_link
kalalagawya	Kala Lagaw Ya		kala1377	Pama-Nyungan	mwp	https://drive.google.com/file/d/1NHYPYV8tHbOuaffmAjqeSNrhw129QzJM/view?usp=share_link
kalam	Kalam		kala1397	Nuclear Trans New Guinea	kmh	https://drive.google.com/file/d/1tjJ2NXqS8Z1_Aa_bN6ACLB85cGNws5l9/view?usp=share_link
limoskalinga	Limos Kalinga		limo1248	Austronesian	kmk	https://drive.google.com/file/d/1meDpo4DxX4d5EolsJ_6GcOD333ArJjUA/view?usp=share_link
kaluli	Kaluli		kalu1248	Bosavi	bco	https://drive.google.com/file/d/12iWIrYsqZpTzypYWtfHuX419gEhJl4rW/view?usp=share_link
kamano	Kamano		kama1370	Nuclear Trans New Guinea	kbq	https://drive.google.com/file/d/1djdX6YD_-_PFKyZLoDyphYeL1nauXYtz/view?usp=share_link
kamasau	Kamasau		kama1367	Nuclear Torricelli	kms	https://drive.google.com/file/d/11xqYm6EsjQllU0H8jpmFQsBpiPSmqtYo/view?usp=share_link
kamula	Kamula		kamu1260	Kamula-Elevala	xla	https://drive.google.com/file/d/1c5Hn5hu8_tdX1aifPotSMf4slf6PWAaA/view?usp=share_link
kanasi	Kanasi		kana1288	Dagan	soq	https://drive.google.com/file/d/1C5IUCQIAUTLzBR6W0dMswzm_1SVFk3qU/view?usp=share_link
kandas	Kandas		kand1301	Austronesian	kqw	https://drive.google.com/file/d/194_MuZDpM5-TSXk38XgQY6BrMz7reBzS/view?usp=share_link
kandawo	Kandawo		kand1303	Nuclear Trans New Guinea	gam	https://drive.google.com/file/d/11bAv_xVJ3fnldArEfJhE_mUAp0cvNDmv/view?usp=share_link
kaninuwa	Kaninuwa		kani1281	Austronesian	wat	https://drive.google.com/file/d/1-u41YZxRZfzdriHFMmHSGN7htl2jtdz0/view?usp=share_link
kanite	Kanite		kani1286	Nuclear Trans New Guinea	kmu	https://drive.google.com/file/d/1H6nJhxj3ZL0nN1QqE4lJprz5Q-gh7n8G/view?usp=share_link
kankanaey	Kankanaey		kank1243	Austronesian	kne	https://drive.google.com/file/d/1a0xPYM5FSe1mBI2jnbfbyoL_jL908ogE/view?usp=share_link
northernkankanay	Northern Kankanay		nort2877	Austronesian	xnn	https://drive.google.com/file/d/1pIs4y7qCaCX1htIYBZ3ronbVznrStYUd/view?usp=share_link
kannada	Kannada		nucl1305	Dravidian	kan	https://drive.google.com/file/d/1RDUJfVg9XFx6zwuVZiMHnegoeSLvmmlT/view?usp=share_link
kannada1	Kannada	1	nucl1305	Dravidian	kan	https://drive.google.com/file/d/1GDIVc-z-xHy1V5kP-zfzh8Rpyv1Ux_5y/view?usp=share_link
kapingamarangi	Kapingamarangi		kapi1249	Austronesian	kpg	https://drive.google.com/file/d/1vo5YkvaNCJzYMzu8xqpZ9Nma-zUCMCM7/view?usp=share_link
kaqchikel	Kaqchikel		kaqc1270	Mayan	cak	https://drive.google.com/file/d/1FNiOL-pxYMtYejsIYoGx8rbmTlnWU9Xg/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1Pg0u8Aa8reqlwDdDw4F4P-dJuw-50a93/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1qSLc9kGipFKxkFhW3_ClR3qokDjLy0y4/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1pTdlTiU9ArMdmJRpIgPXnbGnl0DPrLIO/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1qH-hrjjc763QSsIjh-X5kFI7Vsx8AoSC/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1z-2pcmoANmfM1YyXg4PGHbm3PfTjXkQe/view?usp=share_link
kaqchikel1	Kaqchikel	1	kaqc1270	Mayan	cak	https://drive.google.com/file/d/1MXGchtV3m5OcTDCCZcG00GB_xJJALvFU/view?usp=share_link
karapapuanewguinea	Kara (Papua New Guinea)		kara1486	Austronesian	leu	https://drive.google.com/file/d/1rCjp-BsYUIkTPA4-o6QQ8XrPuu2xAjuX/view?usp=share_link
karatanzania	Kara (Tanzania)		kara1481	Atlantic-Congo	reg	https://drive.google.com/file/d/1h7R18aTAFSAlvVBWENGh9WWSi0YOjQXl/view?usp=share_link
karaja	Karajá		kara1500	Nuclear-Macro-Je	kpj	https://drive.google.com/file/d/13kfL1F2vKB7BINrCKkRFixJ0I8l8S05Y/view?usp=share_link
karkaryuri	Karkar-Yuri		kark1258	Pauwasi	yuj	https://drive.google.com/file/d/1ct8vyYaf3eMMWq4koD-Fxm8ZcTQ0QoGd/view?usp=share_link
cashinahua	Cashinahua		cash1254	Pano-Tacanan	cbs	https://drive.google.com/file/d/1J5Dgeh5XUw9mczqhP0QMOUrqAlMzNrAJ/view?usp=share_link
kasua	Kasua		kasu1251	Bosavi	khs	https://drive.google.com/file/d/1ou-9pbwdxAWbd28P_XC9eCkjAz0gN4nR/view?usp=share_link
kate	Kâte		kate1253	Nuclear Trans New Guinea	kmg	https://drive.google.com/file/d/1SCmCnyRzX6uKAD9sBel5JsOqP5FOlG-0/view?usp=share_link
kuanua	Kuanua		kuan1248	Austronesian	ksd	https://drive.google.com/file/d/1GyPWFnz3MGDFRe2NvLeGx2gB7HvFUXZl/view?usp=share_link
kayabi	Kayabí		kaya1329	Tupian	kyz	https://drive.google.com/file/d/10wRoZVIAss85bfRpSPFQJOw948_k9AIH/view?usp=share_link
mebengokre	Mebengokre		kaya1330	Nuclear-Macro-Je	txu	https://drive.google.com/file/d/1h-RnIjBlktJklWoXx6_7oBR3B2vqylcg/view?usp=share_link
keapara	Keapara		keap1239	Austronesian	khz	https://drive.google.com/file/d/1aWD65VTS7l0VRZ2-MzrNHPR_NavLLBFl/view?usp=share_link
kein	Kein		kein1239	Nuclear Trans New Guinea	bmh	https://drive.google.com/file/d/112UFUS_QD0VmuALxZjm6Lybyo_XlbE86/view?usp=share_link
kenga	Kenga		keng1240	Central Sudanic	kyq	https://drive.google.com/file/d/10TLRK-7eMk-KodenRPCQy4kS8jxk9QLo/view?usp=share_link
kenyang	Kenyang		keny1279	Atlantic-Congo	ken	https://drive.google.com/file/d/10G-7s5iM0mI9lGSIK37sInCX3h2cvHs2/view?usp=share_link
keyagana	Keyagana		keya1238	Nuclear Trans New Guinea	kyg	https://drive.google.com/file/d/10pj0LZvMY5Y6V7FV8_BwR_olGqnR84VF/view?usp=share_link
kazymberezoversuryskarerkhanty	Kazym-Berezover-Suryskarer Khanty		khan1273	Uralic	kca	https://drive.google.com/file/d/1k2uL375zV_yjKqjHxgknkOed4Ik40dU8/view?usp=share_link
kilivila	Kilivila		kili1267	Austronesian	kij	https://drive.google.com/file/d/1OtGggb77IZPilQXIswG7zLzRLabYggVI/view?usp=share_link
kinga	Kinga		nucl1379	Atlantic-Congo	zga	https://drive.google.com/file/d/19Ms1JOVNrckNjI19WuvixcSt6wlqZKf0/view?usp=share_link
kire	Kire		kire1240	Ramu	geb	https://drive.google.com/file/d/12Vo0jIBrAVsuBcekfgiNb55-igEqQOem/view?usp=share_link
kisar	Kisar		kisa1266	Austronesian	kje	https://drive.google.com/file/d/1_0AbMloyEzOGMmJQDWl_T3ffjEHXbn7h/view?usp=share_link
kisi	Kisi		kisi1243	Atlantic-Congo	kiz	https://drive.google.com/file/d/1c1SgN2x2YU9YZ4lA9G3f7MYfoG-tdnjs/view?usp=share_link
swahili	Swahili		swah1253	Atlantic-Congo	swh	https://drive.google.com/file/d/1Y-gHIWSRT2fkVTN7VVo065o53DLBCFt7/view?usp=share_link
northeastkiwai	Northeast Kiwai		nort2930	Kiwaian	kiw	https://drive.google.com/file/d/1BPMPq1rXH_BZBmseg2P4zKsKhOAAp0Dq/view?usp=share_link
yombe	Yombe		yomb1244	Atlantic-Congo	yom	https://drive.google.com/file/d/1UGPv0uaKJxexLcYIxsGxpsECZk99XZNI/view?usp=share_link
kobon	Kobon		kobo1249	Nuclear Trans New Guinea	kpw	https://drive.google.com/file/d/1NLrK4seB0iv1_duDZ69SKuvHh4hCxBsk/view?usp=share_link
mountainkoiali	Mountain Koiali		moun1252	Koiarian	kpx	https://drive.google.com/file/d/1JM_1d7ka05AojXFAKw_lB3SInnk4vQ8-/view?usp=share_link
komba	Komba		komb1273	Nuclear Trans New Guinea	kpf	https://drive.google.com/file/d/1qeXOV5ZAh_FrFWtDRHnlurCQmEMEiz7X/view?usp=share_link
kombio	Kombio		komb1272	Nuclear Torricelli	xbi	https://drive.google.com/file/d/12N0_yiS513j9HGR_XbnVc60wkJOmLtZK/view?usp=share_link
kombio1	Kombio	1	komb1272	Nuclear Torricelli	xbi	https://drive.google.com/file/d/18QMIw2AIBjC_nYC-1WVvIHSm2KDcYadK/view?usp=share_link
konai	Konai		kona1242	East Strickland	kxw	https://drive.google.com/file/d/1WF1RkvqMapdKoQ8FgdAbifMSP_U-xp_2/view?usp=share_link
konkomba	Konkomba		konk1269	Atlantic-Congo	xon	https://drive.google.com/file/d/1lsxjhVSJGMNdA0qzAsOlGDRlrBtko9oH/view?usp=share_link
korafeyegha	Korafe-Yegha		kora1294	Nuclear Trans New Guinea	kpr	https://drive.google.com/file/d/1ZuOkdgDKQPj7b7t6CrwmIVivyie9OFxp/view?usp=share_link
kosena	Kosena		kose1239	Bookkeeping	kze	https://drive.google.com/file/d/1xFFklaG9gCFy2VVsr1-xjis4DssFGzGY/view?usp=share_link
kosraean	Kosraean		kosr1238	Austronesian	kos	https://drive.google.com/file/d/1Yc85b1rt7NuHDS4g2lLh2-rwGymNkNVW/view?usp=share_link
koti	Koti		koti1238	Atlantic-Congo	eko	https://drive.google.com/file/d/1YNV2CP9kvtGFOJAc9xtdPbavZ2qfSudK/view?usp=share_link
kouya	Kouya		kouy1238	Kru	kyf	https://drive.google.com/file/d/1m0-UqKKLp_H0yP-APm-qjwu-BS7Er5w-/view?usp=share_link
kriol	Kriol		krio1252	Indo-European	rop	https://drive.google.com/file/d/188E-uf4iCX7Vr6lKP5G8DZmySeqoT1jP/view?usp=share_link
kulungtfuyuanggengtobo	Kulungtfu-Yuanggeng-Tobo		kube1244	Nuclear Trans New Guinea	kgf	https://drive.google.com/file/d/10ycByML-2N3eW0T4Lm3nMFWh4ZHfeZJd/view?usp=share_link
subiya	Subiya		subi1246	Atlantic-Congo	sbs	https://drive.google.com/file/d/1YDefQJZHD5SGvNe31AWnCDS2UQJp0Q3S/view?usp=share_link
kukuyalanji	Kuku-Yalanji		kuku1273	Pama-Nyungan	gvn	https://drive.google.com/file/d/1ACX_ZAkcuXwKMHl2sIKGuiQXArvnrn-V/view?usp=share_link
kuman	Kuman		kuma1280	Nuclear Trans New Guinea	kue	https://drive.google.com/file/d/1hTvj9MeS5OZk9Gc8JyWWxefsyJgj6dZF/view?usp=share_link
borderkuna	Border Kuna		bord1248	Chibchan	kvn	https://drive.google.com/file/d/1B4DOASJMm2moa15rnGouVF36vmBjSntc/view?usp=share_link
sanblaskuna	San Blas Kuna		sanb1242	Chibchan	cuk	https://drive.google.com/file/d/1SgDn76DSfEMRLlrSPVyffmtzsOWHLTZe/view?usp=share_link
kuniboazi	Kuni-Boazi		kuni1265	Anim	kvg	https://drive.google.com/file/d/1pG9z-2KQkknqdYaFJ4__NvDC3wLZwkGa/view?usp=share_link
kunimaipa	Kunimaipa		kuni1267	Kunimaipan	kup	https://drive.google.com/file/d/1cHhyR_0Td2mH3KJp9ihcVaUao3f4eMX1/view?usp=share_link
kuot	Kuot		kuot1243		kto	https://drive.google.com/file/d/12gPLpUcKdpwX3qLc97RSKSzObnUKSa2U/view?usp=share_link
kupangmalay	Kupang Malay		kupa1239	Austronesian	mkn	https://drive.google.com/file/d/1EMYzhjl1Qo-tF0RNBbry4-fXxgbPxxq_/view?usp=share_link
kurti	Kurti		kurt1250	Austronesian	ktm	https://drive.google.com/file/d/1015QYpd9f_pkrWPFJu2Hd6ZpliIbIa3B/view?usp=share_link
