ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
bumbitaarapesh	Bumbita Arapesh		bumb1241	Nuclear Torricelli	aon	https://drive.google.com/file/d/1SJiEBmrW_zI_9Fhvt7_oXWZ8yzoRBW9y/view?usp=share_link
are	Are		aree1239	Austronesian	mwc	https://drive.google.com/file/d/15wSmrnna-sR11IL_8hfYOLsgh6K02Idu/view?usp=share_link
aroplokep	Arop-Lokep		arop1243	Austronesian	apr	https://drive.google.com/file/d/1B-r4soqYAzWmlfu6S8ryk-6Z49xi-y-o/view?usp=share_link
arosi	Arosi		aros1241	Austronesian	aia	https://drive.google.com/file/d/1yamidqGC9T8QhrWJ8aOhmvu3KyhOMHPV/view?usp=share_link
westernarrarnta	Western Arrarnta		west2441	Pama-Nyungan	are	https://drive.google.com/file/d/1zyTyo0PeywxvMkaKoH6-N8tIzPMoRAY1/view?usp=share_link
easternarrernte	Eastern Arrernte		east2379	Pama-Nyungan	aer	https://drive.google.com/file/d/1lYQwaL-Sj-XpWdQx-X-dAu-3q51aqbyI/view?usp=share_link
aruamu	Aruamu		arua1260	Ramu	msy	https://drive.google.com/file/d/1XpxLRp5ka1Qt0xXaB3F2EuC7Uqt_g2y_/view?usp=share_link
aruamu1	Aruamu	1	arua1260	Ramu	msy	https://drive.google.com/file/d/1s9p7KKPBq-xqCBtgfkcTN5B2Nxlr48rC/view?usp=share_link
ashaninka	Asháninka		asha1243	Arawakan	cni	https://drive.google.com/file/d/19miMD431E3Z3p9spZZHALP_mpDcvtMLB/view?usp=share_link
asheninkapajonal	Ashéninka Pajonal		ashe1273	Arawakan	cjo	https://drive.google.com/file/d/1Z2T3sh335XwNQo3BUOk9AKwfc7Cthi8x/view?usp=share_link
pichisasheninka	Pichis Ashéninka		pich1237	Arawakan	cpu	https://drive.google.com/file/d/15LbRlcKW7ra6CA8sE2EX5pyKVMlvEVUw/view?usp=share_link
southucayaliasheninka	South Ucayali Ashéninka		sout3127	Arawakan	cpy	https://drive.google.com/file/d/1t4kbpJd8MjVywL9Ql4INJlQwccakHJvu/view?usp=share_link
ucayaliyuruaasheninka	Ucayali-Yurúa Ashéninka		ucay1237	Arawakan	cpb	https://drive.google.com/file/d/1qEqK4pTS5XwTiozsrkekdxZVMEZvTBsE/view?usp=share_link
assamese	Assamese		assa1263	Indo-European	asm	https://drive.google.com/file/d/1nF4UC3OEal82kXaSNHfu9pjFTs61yOxF/view?usp=share_link
assyrianneoaramaic	Assyrian Neo-Aramaic		assy1241	Afro-Asiatic	aii	https://drive.google.com/file/d/16uSp1OMeI22KgZV8wt8NOh2lLIPl8Zxr/view?usp=share_link
pamplonaatta	Pamplona Atta		pamp1244	Austronesian	att	https://drive.google.com/file/d/1l4AdmZwHM2OHuDGJlQgrLFyx_Wulwori/view?usp=share_link
au	Au		auuu1241	Nuclear Torricelli	avt	https://drive.google.com/file/d/1DJZx8K9rUvHfY9TY4zaY7tRqK6_Ejl2g/view?usp=share_link
