ID	Name	Name_in_Source	Variety	ISO639P3Code	Glottocode	Family	Year	Date	Copyright	License	Translator	Title	URL
sanblaskuna09	San Blas Kuna	San Blas Kuna		cuk	sanb1242	Chibchan	2009	2015-03-17	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Bab dummad Jesucristoba igar mesisad garda	https://ebible.org/Scriptures/cuk09_html.zip
sanblaskuna	San Blas Kuna	San Blas Cuna		cuk	sanb1242	Chibchan	2014	2014-03-31	Copyright © 2014 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Bab-Dummad-Garda-Islidikid	https://ebible.org/Scriptures/cuk_html.zip
culina	Culina	Culina		cul	culi1244	Arawan	2014	2020-11-16	Copyright © 2014 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	El Nuevo Testamento en el idioma Culina (mádija) del Perú	https://ebible.org/Scriptures/cul_html.zip
teutilacuicatecnt	Teutila Cuicatec	Cuicatec, Teutila		cut	teut1235	Otomanguean	1972	2014-04-22	Copyright © 1972 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	El Nuevo Testamento: Cuicateco de Teutila	https://ebible.org/Scriptures/cutNT_html.zip
tepeuxilacuicatecnt	Tepeuxila Cuicatec	Cuicatec, Tepeuxila		cux	tepe1280	Otomanguean	1974	2014-04-22	Copyright © 1974 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Nduudu nʼdai yeⁿʼe Ndyuūs yeⁿʼe cuicateco yeⁿʼe Tepeuxila	https://ebible.org/Scriptures/cuxNT_html.zip
kwere	Kwere	Kwere		cwe	kwer1261	Atlantic-Congo	2014	2022-06-21	Copyright © 2014, 2019 The Word for the World and Pioneer Bible Translators	CCBYND-4.0	Pioneer Bible Translators and The Word for the World	Biblia Ching'hwele	https://ebible.org/Scriptures/cwe_html.zip
nopalachatino	Nopala Chatino	Nopala Chatino		cya	nopa1235	Otomanguean	2013	2015-03-17	Copyright © 2013 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	El Nuevo Testamento	https://ebible.org/Scriptures/cya_html.zip
dangaleatnt	Dangaleat	Dangaléat		daa	dang1274	Afro-Asiatic	2012	2021-11-01	Copyright © 2012 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Jamaw ta Marbinto: Kabarre ta Gala ɗo bi ka Iisa Masi iŋ daŋla	https://ebible.org/Scriptures/daaNT_html.zip
marik	Marik	Marik		dad	mari1428	Austronesian	2011	2013-07-22	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Mata Ifenẽya Nẽ Od	https://ebible.org/Scriptures/dad_html.zip
dan	Dan	Dan	Eastern	daf	dann1241	Mande	1991	2021-07-12	Copyright © 1991 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	NAƆ ‑SË 'SËËDHƐ	https://ebible.org/Scriptures/daf_html.zip
gwahatike	Gwahatike	Gwahatike		dah	gwah1244	Nuclear Trans New Guinea	2000	2016-08-10	Copyright © 2000 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators	Al Kuruŋyen Mere Igiŋ	https://ebible.org/Scriptures/dah_html.zip
danish1931	Danish	Dansk		dan	dani1285	Indo-European	1907	2021-07-19	Copyright © 1907, 1931 Det Danske Bibelselskab	Public Domain	Danish Bible Society	Hellig Bibel	https://ebible.org/Scriptures/dan1931_html.zip
daaichin	Daai Chin	Daai		dao	daai1236	Sino-Tibetan	2018	2023-04-09	Copyright © 2018 The Word for the World International	CCBY-4.0	The Word for the World Southeast Asia	Dai Cangcim Kthai	https://ebible.org/Scriptures/dao_html.zip
dedua	Dedua	Dedua		ded	dedu1240	Nuclear Trans New Guinea	2005	2015-01-02	Copyright © 2005 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Yoac kekehagocac Dzadzahac gboria nga Mitiyegec	https://ebible.org/Scriptures/ded_html.zip
desano	Desano	Desano		des	desa1247	Tucanoan	2011	2020-11-17	Copyright © 2011 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Goãmʉ Yare Wereripʉ	https://ebible.org/Scriptures/des_html.zip
german1912	German	Deutsch		deu	stan1295	Indo-European		2023-08-09	public domain	Public Domain	Martin Luther	Lutherbibel 1912	https://ebible.org/Scriptures/deu1912_html.zip
german1951	German	Deutsch		deu	stan1295	Indo-European	1951	2022-03-30	Copyright © 1951 Genfer Bibelgeschellschaft (Geneva Bible Society)	CCBY-4.0	Franz-Eugen Schlachter	Die Schlachter-Bibel 1951	https://ebible.org/Scriptures/deu1951_html.zip
germanelbbk	German	Deutsch		deu	stan1295	Indo-European	2019	2023-10-23	Copyright © 2019 Verbreitung des christlichen Glaubens e.V.	CCBYNCND-4.0	Verbreitung des christlichen Glaubens e.V.	Elberfelder Übersetzung (Version von bibelkommentare.de)	https://ebible.org/Scriptures/deuelbbk_html.zip
germanelo	German	Deutsch		deu	stan1295	Indo-European		2023-09-19	public domain	Public Domain	Julius Anton von Poseck, Carl Brockhaus, and John Nelson Darby	Darby Unrevidierte Elberfelder	https://ebible.org/Scriptures/deuelo_html.zip
germantkw	German	Deutsch		deu	stan1295	Indo-European		2018-12-19	public domain	Public Domain		Textbibel von Kautzsch und Weizsäcker	https://ebible.org/Scriptures/deutkw_html.zip
casigurannagtipunanagta	Casiguran-Nagtipunan Agta	Casiguran Dumagat Agta		dgc	casi1235	Austronesian	1979	2015-03-17	Copyright © 1979 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Bigu a tipan: I mahusay a baheta para ta panahun tam	https://ebible.org/Scriptures/dgc_html.zip
dogribdognt	Dogrib	Dogrib		dgr	dogr1252	Athabaskan-Eyak-Tlingit	2009	2014-04-22	Copyright © 2009 Canadian Bible Society	CCBYNCND-4.0	Canadian Bible Society	Nǫ̀htsı̨̨ Nı̨̨htł'è	https://ebible.org/Scriptures/dgrDOGNT_html.zip
daga	Daga	Daga		dgz	daga1275	Dagan	1974	2015-01-02	Copyright © 1974, 2004 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Daga New Testament	https://ebible.org/Scriptures/dgz_html.zip
dhangu	Dhangu	Wangurri		dhg	dhan1270	Pama-Nyungan	2019	2023-04-15	Copyright © 2019 Wycliffe Bible Translators	CCBYNCND-4.0		Djesuwuŋ ŋuwakurru dhäwu Mäkkuŋ wukirriwuy	https://ebible.org/Scriptures/dhg_html.zip
dhanguduwadha	Dhangu	Dhuwa-Dhaŋu'mi	Dhuwa-Dhaŋu'mi	dhg	dhan1270	Pama-Nyungan	2019	2023-07-14	Copyright © 2019 Wycliffe Bible Translators	CCBYNCND-4.0		Dhuwa Dhaŋu'mi Mäk	https://ebible.org/Scriptures/dhgduwadha_html.zip
didinga	Didinga	Dibabawon Manobo		did	didi1258	Surmic	1988	2020-11-17	Copyright © 1988 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Dibabawon Manobo texts	https://ebible.org/Scriptures/did_html.zip
dieri	Dieri	Dieri		dif	dier1241	Pama-Nyungan		2023-07-26	public domain	Public Domain	J. G. REUTHER, C. STREHLOW, jaura jinkmietja wulana	TESTAMENTA MARRA	https://ebible.org/Scriptures/dif_html.zip
digo	Digo	Digo		dig	digo1243	Atlantic-Congo	2019	2020-11-24	Copyright © 2019 Bible Translation and Literacy	All rights reserved	Wycliffe Bible Translators, Inc.	Digo	https://ebible.org/Scriptures/dig_html.zip
southwesterndinkant	Southwestern Dinka	Dinka, Southwestern		dik	sout2832	Nilotic	2006	2014-04-22	Copyright © 2006 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Lëk yam	https://ebible.org/Scriptures/dikNT_html.zip
dhivehi	Dhivehi	Dhivehi		div	dhiv1236	Indo-European	2019	2020-11-17	Copyright © 2019 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	ކިތާބުލް މުޤައްދަސް	https://ebible.org/Scriptures/div_html.zip
djinang	Djinang	Djinang		dji	djin1253	Pama-Nyungan	1977	2023-07-26	Copyright © 1977-2021 Wycliffe Bible Translators	CCBYSA		Djinang Bible	https://ebible.org/Scriptures/dji_html.zip
djeebbana	Djeebbana	Ndjébbana		djj	djee1236	Maningrida	2023	2023-07-28	Copyright © 2023 Wycliffe Bible Translators	CCBYNCND-4.0		Ndjébbana Christmas Story	https://ebible.org/Scriptures/djj_html.zip
aukannt	Aukan	Eastern Maroon Creole		djk	ndyu1242	Indo-European	2009	2014-04-22	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Beibel: okanisi tongo	https://ebible.org/Scriptures/djkNT_html.zip
djambarrpuyngu	Djambarrpuyngu	Djambarrpuyŋu		djr	djam1256	Pama-Nyungan	2008	2023-10-13	Copyright © 2008 Bible Society of Australia	CCBYNCND-4.0		God-Waŋarrwu Walŋamirr Dhäruk	https://ebible.org/Scriptures/djr_html.zip
nucleardan	Nuclear Dan	Dan	Western	dnj	nucl1770	Mande	1991	2020-11-17	Copyright © 1991 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	'WUN SË ‑NAƆ 'SËËDHƐ	https://ebible.org/Scriptures/dnj_html.zip
dobu	Dobu	Dobu		dob	dobu1241	Austronesian	1985	2015-01-02	Copyright © 1985 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Loina Tabu Auwauna	https://ebible.org/Scriptures/dob_html.zip
lukpa	Lukpa	Lokpa		dop	lukp1238	Atlantic-Congo	1999	2017-10-16	Copyright © 1999 SIM	CCBYNCND-4.0	SIM	PIIPILI ƖSƆ TƆM TAKƎLAƔA	https://ebible.org/Scriptures/dop_html.zip
tokaleyadombe	Toka-Leya-Dombe	Toka-Leya-Dombe		dov	domb1246	Atlantic-Congo	2020	2020-07-06	Copyright © 2020 Door43 World Missions Community	CCBYSA	DUBE MAKEYI S, Denis, Keepers, Smart, Leviticus, Lusyomo, David, Charles, Ian,Daimon, Gedion., ELEK, Faith, Leviticus Muleya, Lucy Ngosolo, Makeyi S Dube, Makeyi s dube, Muleya Nkondo, Purpoe Mumpande, Purpose, Richard, Stephen, Samson,Nkondo, Mackion, Elek, Wilson, Dickson, January, Betty, Stephen, TOM-88PN_0003.MACHINGA, iii9i, nkondo, onesai misioni, patricia banda, peaceful, purpoe, victor	Dombe New Testament	https://ebible.org/Scriptures/dov_html.zip
desiya	Desiya	ଦେଶିଆ		dso	desi1235	Bookkeeping	2020	2023-04-08	Copyright © 2020 The Word for the World International	CCBY-4.0	The Word for the World International	ସତିଅର୍‌ ବାଟ୍‌	https://ebible.org/Scriptures/dso_html.zip
hunsaare	Hun-Saare	Hun-Saare		dud	huns1239	Atlantic-Congo	2017	2020-11-17	Copyright © 2017 Wycliffe Bible Translators, Inc.	All rights reserved	WBT Central Zone	ut-Hun New Testament	https://ebible.org/Scriptures/dud_html.zip
umiraydumagetagta	Umiray Dumaget Agta	Agta, Umiray Dumaget		due	umir1236	Austronesian	1977	2020-11-10	Copyright © 1977 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	I bowon a pagpakikasungdu	https://ebible.org/Scriptures/due_html.zip
dupaninanagta	Dupaninan Agta	Agta, Dupaninan		duo	dupa1235	Austronesian	2001	2020-11-10	Copyright © 2001 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Agta, Dupaninan	https://ebible.org/Scriptures/duo_html.zip
dawroent	Dawro	Dawro		dwr	dawr1236	Ta-Ne-Omotic	2011	2014-04-22	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ooratha Caaquwaa	https://ebible.org/Scriptures/dwrENT_html.zip
dawront	Dawro	Dawro		dwr	dawr1236	Ta-Ne-Omotic	2011	2019-12-29	Copyright © 2011 The Word for the World	CCBYND-4.0	Wycliffe Bible Translators, Inc.	Ooratha Caaquwaa	https://ebible.org/Scriptures/dwrNT_html.zip
nucleardhuwalliv	Nuclear Dhuwal	Ḻiyagawumirr	Liyagawumirr	dwu	nucl1333	Pama-Nyungan	2021	2023-07-28	Copyright © 2021 Wycliffe Bible Translators	CCBYNCND-4.0		Luke	https://ebible.org/Scriptures/dwuliv_html.zip
dawawa	Dawawa	Dawawa		dww	dawa1242	Austronesian	2002	2015-01-02	Copyright © 2002 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Vari Verenama	https://ebible.org/Scriptures/dww_html.zip
dhuwaya	Dhuwaya	Dhuwaya		dwy	dhuw1250	Pama-Nyungan	2019	2023-09-20	Copyright © 2019 Bible Society of Australia	CCBYNCND-4.0		Djesuwalaŋuwuy latjuꞌ dhäwuꞌ Markkuŋu wukirriwuy	https://ebible.org/Scriptures/dwy_html.zip
djiminisenoufo	Djimini Senoufo	Djimini Senoufo		dyi	djim1235	Atlantic-Congo	2014	2020-11-17	Copyright © 2014 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Bibulu Jinmiire ni	https://ebible.org/Scriptures/dyi_html.zip
dyula	Dyula	Julakan		dyu	dyul1238	Mande	2013	2020-11-18	Copyright © 2013 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Biblu Ala ta Kuma	https://ebible.org/Scriptures/dyu_html.zip
easternbontok	Eastern Bontok	Eastern Bontok		ebk	east2881	Austronesian	2003	2014-08-06	Copyright © 2003 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Nan kalen apo Dios (Nan fiarú ay turag)	https://ebible.org/Scriptures/ebk_html.zip
estonianpkp	Estonian	Eesti		ekk	esto1258	Uralic	2023	2023-04-10	Copyright © 2023 Sihtasutus Piibel Kõigile	CCBYSA	Sihtasutus Piibel Kõigile	Piibel Kõigile	https://ebible.org/Scriptures/ekkpkp_html.zip
koti	Koti	Kote		eko	koti1238	Atlantic-Congo	2005	2016-06-30	Copyright © 2005-2008 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Kote New Testament	https://ebible.org/Scriptures/eko_html.zip
mussauemira	Mussau-Emira	Mussau-Emira		emi	muss1246	Austronesian	2006	2018-11-09	Copyright © 2006, 2008, 2013, 2016, 2018 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Mussau-Emira Bible	https://ebible.org/Scriptures/emi_html.zip
northernemberantpo	Northern Emberá	Emberá, Northern		emp	nort2972	Chocoan	2011	2014-04-23	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ãcõrẽ Bed̶ea	https://ebible.org/Scriptures/empNTpo_html.zip
apali	Apali	Apalɨ		ena	apal1256	Nuclear Trans New Guinea	2022	2023-04-06	Copyright © 2022 Pioneer Bible Translators	CCBYSA	Pioneer Bible Translators	Asɨ dɨ manasɨŋ	https://ebible.org/Scriptures/ena_html.zip
englishbrenton	English	English	archaic British	eng	stan1293	Indo-European		2023-09-21	public domain	Public Domain		Brenton Septuagint Translation	https://ebible.org/Scriptures/eng-Brenton_html.zip
englishasv	English	English	Archaic American	eng	stan1293	Indo-European		2024-03-04	public domain	Public Domain		American Standard Version (1901)	https://ebible.org/Scriptures/eng-asv_html.zip
englishglw	English	English	American	eng	stan1293	Indo-European	1996	2018-08-24	Copyright © 1996 Michael Paul Johnson	CCBYND-4.0	Michael Paul Johnson	God's Living Word	https://ebible.org/Scriptures/eng-glw_html.zip
englishkjv2006	English	English	archaic British	eng	stan1293	Indo-European		2023-08-02	public domain	Public Domain		King James (Authorized) Version	https://ebible.org/Scriptures/eng-kjv2006_html.zip
englishkjv	English	English	archaic British	eng	stan1293	Indo-European		2023-05-10	public domain	Public Domain		King James Version + Apocrypha	https://ebible.org/Scriptures/eng-kjv_html.zip
englishlxx2012	English	English	American	eng	stan1293	Indo-European		2024-04-17	public domain	Public Domain		LXX2012: Septuagint in American English 2012	https://ebible.org/Scriptures/eng-lxx2012_html.zip
englishrv	English	English	archaic British	eng	stan1293	Indo-European		2024-02-21	public domain	Public Domain		Revised Version with Apocrypha (1895)	https://ebible.org/Scriptures/eng-rv_html.zip
englisht4t	English	English	American	eng	stan1293	Indo-European	2008	2024-02-21	Copyright © 2008-2017 Ellis W. Deibler, Jr.	CCBYSA		Translation for Translators	https://ebible.org/Scriptures/eng-t4t_html.zip
englishuklxx2012	English	English	British	eng	stan1293	Indo-European		2024-03-19	public domain	Public Domain	Sir Lancelot Charles Lee Breton	LXX2012: Septuagint in British/International English 2012	https://ebible.org/Scriptures/eng-uk-lxx2012_html.zip
englishwebc	English	English	American	eng	stan1293	Indo-European		2024-04-15	public domain	Public Domain		World English Bible (Catholic)	https://ebible.org/Scriptures/eng-web-c_html.zip
englishweb	English	English	American	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World English Bible with Deuterocanon	https://ebible.org/Scriptures/eng-web_html.zip
englishwebbe	English	English	British	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World English Bible British Edition with Deuterocanon	https://ebible.org/Scriptures/eng-webbe_html.zip
englishbbe	English	English	simple British	eng	stan1293	Indo-European		2020-04-17	public domain	Public Domain	Samuel Henry Hooke	Bible in Basic English	https://ebible.org/Scriptures/engBBE_html.zip
englishdby	English	English	archaic British	eng	stan1293	Indo-European		2019-11-15	public domain	Public Domain	J. N. Darby	Darby Translation	https://ebible.org/Scriptures/engDBY_html.zip
englishdra	English	English	archaic American	eng	stan1293	Indo-European		2022-11-03	public domain	Public Domain	English College, Douai	Douay-Rheims 1899	https://ebible.org/Scriptures/engDRA_html.zip
englishpev	English	Aboriginal English	Australian Aboriginal	eng	stan1293	Indo-European	2019	2024-02-21	Copyright © 2019 The Plain English Project	CCBYNCND-4.0		Plain English Version	https://ebible.org/Scriptures/engPEV_html.zip
englishulb	English	English		eng	stan1293	Indo-European	2017	2020-12-04	Copyright © 2017 Door43 World Missions Community	CCBYSA	Door43 World Missions Community	Unlocked Literal Bible	https://ebible.org/Scriptures/engULB_html.zip
englishwycliffe	English	Middle English	Middle	eng	stan1293	Indo-European		2016-11-08	public domain	Public Domain	John Wycliffe	Wycliffe Bible	https://ebible.org/Scriptures/engWycliffe_html.zip
englishaoi	English	English		eng	stan1293	Indo-European	2021	2021-11-23	Copyright © 2021 Bible Society Australia	CCBYNCND-4.0		Anindilyakwa English Bible	https://ebible.org/Scriptures/engaoi_html.zip
englishasvbt	English	English	Archaic American	eng	stan1293	Indo-European		2024-02-21	public domain	Public Domain		American Standard Version Byzantine Text	https://ebible.org/Scriptures/engasvbt_html.zip
englishbsb	English	English		eng	stan1293	Indo-European		2024-02-21	public domain	Public Domain	BSB Publishing, LLC	Berean Standard Bible	https://ebible.org/Scriptures/engbsb_html.zip
englishemtv	English	English		eng	stan1293	Indo-European	2014	2020-12-20	Copyright © 2014 Dr. Paul W. Esposito	CCBYNCND-4.0		English Majority Text Version	https://ebible.org/Scriptures/engemtv_html.zip
englisherv	English	English	American	eng	stan1293	Indo-European	1987	2018-08-30	Copyright © 1987, 1999, 2006 Bible League International	All rights reserved	World Bible Translation Center	Easy-to-Read Version	https://ebible.org/Scriptures/engerv_html.zip
englishf35	English	English	American	eng	stan1293	Indo-European	2016	2024-02-21	Copyright © 2016 Wilbur N. Pickering, ThM, PhD	CCBYSA		The New Testament with Commentary	https://ebible.org/Scriptures/engf35_html.zip
englishfbv	English	English	American	eng	stan1293	Indo-European	2018	2024-02-21	Copyright © 2018 Dr. Jonathan Gallagher	CCBYSA	Dr. Jonathan Gallagher	Free Bible Version	https://ebible.org/Scriptures/engfbv_html.zip
englishgnv	English	English	Old	eng	stan1293	Indo-European		2024-03-16	public domain	Public Domain		Geneva Bible 1599	https://ebible.org/Scriptures/enggnv_html.zip
englishgw	English	English	American	eng	stan1293	Indo-European	1995	2023-09-19	Copyright © 1995, 2003, 2013, 2014, 2019, 2020 God’s Word to the Nations Mission Society, Inc.	All rights reserved	God’s Word to the Nations Mission Society, Inc.	GOD'S WORD	https://ebible.org/Scriptures/enggw_html.zip
englishjps	English	English	American	eng	stan1293	Indo-European		2023-09-19	public domain	Public Domain	Jewish Publication Society	JPS TaNaKH 1917	https://ebible.org/Scriptures/engjps_html.zip
englishkjvcpb	English	English		eng	stan1293	Indo-European		2020-12-20	public domain	Public Domain		KJV Cambridge Paragraph Bible	https://ebible.org/Scriptures/engkjvcpb_html.zip
englishlee	English	English	archaic British	eng	stan1293	Indo-European		2020-10-14	public domain	Public Domain	Isaac Leeser	Isaac Leeser Tanakh	https://ebible.org/Scriptures/englee_html.zip
englishlsv	English	English	American	eng	stan1293	Indo-European	2020	2024-02-21	Copyright © 2020 Covenant Press	CCBYSA	Covenant Press	Literal Standard Version	https://ebible.org/Scriptures/englsv_html.zip
englishlxxup	English	English	Mixed	eng	stan1293	Indo-European		2020-07-17	public domain	Public Domain	Sir Lancelot C. L. Brenton	Updated Brenton English Septuagint	https://ebible.org/Scriptures/englxxup_html.zip
englishnet	English	English	American	eng	stan1293	Indo-European	1996	2021-05-19	Copyright © 1996-2016 Biblical Studies Press, L. L. C.	All rights reserved		NET Bible	https://ebible.org/Scriptures/engnet_html.zip
englishnna	English	English		eng	stan1293	Indo-European	1980	2020-12-20	Copyright © 1980-2010 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0		Nyangumarta English Bible	https://ebible.org/Scriptures/engnna_html.zip
englishnoy	English	English	archaic British	eng	stan1293	Indo-European		2019-10-24	public domain	Public Domain	George Noyes	George Noyes Bible	https://ebible.org/Scriptures/engnoy_html.zip
englishoebcw	English	English		eng	stan1293	Indo-European		2024-02-21	public domain	Public Domain	OpenEnglishBible.org	Open English Bible (Commonwealth Spelling)	https://ebible.org/Scriptures/engoebcw_html.zip
englishoebus	English	English		eng	stan1293	Indo-European		2024-02-21	public domain	Public Domain	OpenEnglishBible.org	Open English Bible (U. S. spelling)	https://ebible.org/Scriptures/engoebus_html.zip
englishoke	English	English		eng	stan1293	Indo-European		2020-12-20	public domain	Public Domain		Targum Onkelos Etheridge	https://ebible.org/Scriptures/engoke_html.zip
englishourb	English	English	American	eng	stan1293	Indo-European	2016	2016-10-03	Copyright © 2016 Thomas Robinson	CCBYSA	Thomas Robinson	One Unity Resource Bible	https://ebible.org/Scriptures/engourb_html.zip
englishtcent	English	English		eng	stan1293	Indo-European	2022	2024-04-30	Copyright © 2022 Robert Adam Boyd	CCBY-4.0		Text-Critical English New Testament	https://ebible.org/Scriptures/engtcent_html.zip
englishtnt	English	English	archaic British	eng	stan1293	Indo-European		2020-12-20	public domain	Public Domain	William Tyndale	Tyndale New Testament	https://ebible.org/Scriptures/engtnt_html.zip
englishwebp	English	English	American	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World English Bible	https://ebible.org/Scriptures/engwebp_html.zip
englishwebpb	English	English	British	eng	stan1293	Indo-European		2024-04-15	public domain	Public Domain		World English Bible British Edition	https://ebible.org/Scriptures/engwebpb_html.zip
englishwebster	English	English	archaic American	eng	stan1293	Indo-European		2019-10-22	public domain	Public Domain	Noah Webster	Noah Webster Bible	https://ebible.org/Scriptures/engwebster_html.zip
englishwebu	English	English	American	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World English Bible Updated	https://ebible.org/Scriptures/engwebu_html.zip
englishwmb	English	English	American Messianic	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World Messianic Bible	https://ebible.org/Scriptures/engwmb_html.zip
englishwmbb	English	English	British Messianic	eng	stan1293	Indo-European		2024-04-29	public domain	Public Domain		World Messianic Bible British Edition	https://ebible.org/Scriptures/engwmbb_html.zip
englishwyc2017	English	English	Archaic	eng	stan1293	Indo-European	2001	2019-09-26	Copyright © 2001,2010,2011,2012,2013,2015 Terry Noble	CCBYNCND-4.0	Terry Noble	Wycliffe's Bible with Modern Spelling	https://ebible.org/Scriptures/engwyc2017_html.zip
englishwyc2018	English	English	Archaic	eng	stan1293	Indo-European	2001	2019-09-25	Copyright © 2001,2010,2011,2012,2013,2015 Terry Noble	CCBYNCND-4.0	Terry Noble	Wycliffe's Bible with Modern Spelling (Enhanced)	https://ebible.org/Scriptures/engwyc2018_html.zip
englishylt	English	ENGLISH	archaic British	eng	stan1293	Indo-European		2019-10-20	public domain	Public Domain	Robert Young	Young's Literal Translation	https://ebible.org/Scriptures/engylt_html.zip
enga2	Enga	Enga	Kaina (Central)	enq	enga1252	Nuclear Trans New Guinea	2014	2023-09-13	Copyright © 2014-2023 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Enga New Testament (2023 Edition)	https://ebible.org/Scriptures/enq2_html.zip
esperanto	Esperanto	Esperanto		epo	espe1235	Artificial Language		2020-02-13	public domain	Public Domain		Londona Biblio	https://ebible.org/Scriptures/epo_html.zip
ogea	Ogea	Ogea		eri	ogea1238	Nuclear Trans New Guinea	2013	2016-12-01	Copyright © 2013 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators	ITOU NOMO HILOU BEELE	https://ebible.org/Scriptures/eri_html.zip
eseejjant	Ese Ejja	Ese Ejja		ese	esee1248	Pano-Tacanan	2012	2014-04-23	Copyright © 2012 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Eyacuiñajjija Esohui	https://ebible.org/Scriptures/eseNT_html.zip
aherigondi	Aheri Gondi	Aheri Gondi		esg	aher1237	Dravidian	2020	2020-11-10	Copyright © 2020 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Besta Kabur	https://ebible.org/Scriptures/esg_html.zip
sewardalaskainupiatunnt	Seward Alaska Inupiatun	Inupiatun, Northwest Alaska		esk	nort2945	Eskimo-Aleut	2010	2014-04-25	Copyright © 2010 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Ipqitchuat Makpiġaat - Agaayyutim Uqałhi Iñupiatun	https://ebible.org/Scriptures/eskNT_html.zip
edolo	Edolo	Edolo		etr	edol1239	Bosavi	2010	2024-05-08	Copyright © 2010-2022 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Edolo Bible	https://ebible.org/Scriptures/etr_html.zip
ewe	Ewe	eʋegbe		ewe	ewee1241	Atlantic-Congo	2020	2021-11-15	Copyright © 2020 Biblica, Inc.	CCBYSA-4.0	Biblica, Inc.	Biblica® Se aɖeke mebla Biblia zazã o Agbenya La™	https://ebible.org/Scriptures/ewe_html.zip
fasu	Fasu	Fasu		faa	fasu1242		2011	2015-01-02	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Kotimo Kawe Someaka Masane Oyapo	https://ebible.org/Scriptures/faa_html.zip
wagipapuanewguinea	Wagi (Papua New Guinea)	Wagi		fad	wagi1249	Nuclear Trans New Guinea	2016	2020-12-01	Copyright © 2016 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Lukri Né Kena	https://ebible.org/Scriptures/fad_html.zip
